n_Artifacts  =  0.5408163265306123,n_Artifacts  =  0.4294478527607362,n_Artifacts  =  0.7736220472440944,n_Artifacts  =  0.5294117647058824,n_Artifacts  =  0.1111111111111111,n_Artifacts  =  0.5612244897959183
RMSSD  =  15.690182222709149,RMSSD  =  20.22463772785613,RMSSD  =  21.367297524693477,RMSSD  =  20.071666469722807,RMSSD  =  17.091511357368077,RMSSD  =  8.507699593953255
meanNN  =  623.2888888888889,meanNN  =  637.8781362007169,meanNN  =  624.4521739130435,meanNN  =  629.9,meanNN  =  633.8333333333334,meanNN  =  609.2093023255813
sdNN  =  20.472400736581722,sdNN  =  32.44252563989203,sdNN  =  21.342751544218967,sdNN  =  23.585958447717065,sdNN  =  26.73392217409146,sdNN  =  9.857455818615007
cvNN  =  0.03284576558564523,cvNN  =  0.05086006840291444,cvNN  =  0.034178360546777434,cvNN  =  0.03744397276983182,cvNN  =  0.04217815751894524,cvNN  =  0.016180737524829947
CVSD  =  0.025173210211847964,CVSD  =  0.03170611529079306,CVSD  =  0.03421766856987342,CVSD  =  0.03186484595923608,CVSD  =  0.026965308478624363,CVSD  =  0.013965150501602916
medianNN  =  616.0,medianNN  =  632.0,medianNN  =  620.0,medianNN  =  628.0,medianNN  =  628.0,medianNN  =  608.0
madNN  =  16.0,madNN  =  20.0,madNN  =  16.0,madNN  =  20.0,madNN  =  12.0,madNN  =  8.0
mcvNN  =  0.025974025974025976,mcvNN  =  0.03164556962025317,mcvNN  =  0.025806451612903226,mcvNN  =  0.03184713375796178,mcvNN  =  0.01910828025477707,mcvNN  =  0.013157894736842105
pNN50  =  0.0,pNN50  =  1.0752688172043012,pNN50  =  4.3478260869565215,pNN50  =  5.0,pNN50  =  1.1904761904761905,pNN50  =  0.0
pNN20  =  17.77777777777778,pNN20  =  23.655913978494624,pNN20  =  23.47826086956522,pNN20  =  20.0,pNN20  =  16.666666666666664,pNN20  =  2.3255813953488373
Triang  =  1486.1818429775808,Triang  =  14001.046384083207,Triang  =  7667.838732835419,Triang  =  2067.207598977179,Triang  =  7486.159335195292,Triang  =  1130.8903170341998
Shannon_h  =  4.321928094887363,Shannon_h  =  5.285402218862247,Shannon_h  =  5.0,Shannon_h  =  4.623516641218013,Shannon_h  =  4.643856189774723,Shannon_h  =  3.169925001442312
ULF  =  0.0,ULF  =  0.0,ULF  =  0.0,ULF  =  0.0,ULF  =  0.0,ULF  =  0.0
VLF  =  67833.46776696706,VLF  =  169596.02658222386,VLF  =  152745.85618615698,VLF  =  124834.21973922019,VLF  =  24254.85110838236,VLF  =  4265.688250465296
LF  =  113861.04803701933,LF  =  237901.06012062324,LF  =  246598.80776303782,LF  =  348419.8263950498,LF  =  130357.62818642138,LF  =  13704.056344290382
HF  =  16318.817257161556,HF  =  29766.461732840056,HF  =  12918.145706545412,HF  =  17676.06744522522,HF  =  27554.06249863589,HF  =  6761.350057587757
VHF  =  913.9328929407789,VHF  =  1657.5267335370288,VHF  =  550.3716909088364,VHF  =  911.4805694209289,VHF  =  1233.1424438282008,VHF  =  484.28709297064654
Total_Power  =  315375.11703022785,Total_Power  =  466673.72557390586,Total_Power  =  444789.0715022328,Total_Power  =  715230.5785171145,Total_Power  =  201138.61788079783,Total_Power  =  33988.57061447778
LFn  =  0.8746440763302048,LFn  =  0.8887931508211296,LFn  =  0.9502223437280776,LFn  =  0.9517173840443642,LFn  =  0.8255096732920786,LFn  =  0.6696205330685611
HFn  =  0.12535592366979517,HFn  =  0.11120684917887026,HFn  =  0.049777656271922474,HFn  =  0.04828261595563582,HFn  =  0.17449032670792153,HFn  =  0.33037946693143894
LF/HF  =  6.977285561982202,LF/HF  =  7.992251892610979,LF/HF  =  19.089334751665657,LF/HF  =  19.711388150941193,LF/HF  =  4.730976718691662,LF/HF  =  2.026822487753218
LF/P  =  0.36103370839528237,LF/P  =  0.509780274919179,LF/P  =  0.554417416170262,LF/P  =  0.4871433588835472,LF/P  =  0.6480984584654754,LF/P  =  0.40319601844194647
HF/P  =  0.05174414966795697,HF/P  =  0.06378431032566462,HF/P  =  0.02904330734322137,HF/P  =  0.024713802759765893,HF/P  =  0.13699041381981378,HF/P  =  0.1989301090145783
