"n_Artifacts","0.5408163265306123  0.4294478527607362  0.7736220472440944  0.5294117647058824  0.1111111111111111  0.5612244897959183"
"RMSSD","15.690182222709149  20.22463772785613  21.367297524693477  20.071666469722807  17.091511357368077  8.507699593953255"
"meanNN","623.2888888888889  637.8781362007169  624.4521739130435  629.9  633.8333333333334  609.2093023255813"
"sdNN","20.472400736581722  32.44252563989203  21.342751544218967  23.585958447717065  26.73392217409146  9.857455818615007"
"cvNN","0.03284576558564523  0.05086006840291444  0.034178360546777434  0.03744397276983182  0.04217815751894524  0.016180737524829947"
"CVSD","0.025173210211847964  0.03170611529079306  0.03421766856987342  0.03186484595923608  0.026965308478624363  0.013965150501602916"
"medianNN","616.0  632.0  620.0  628.0  628.0  608.0"
"madNN","16.0  20.0  16.0  20.0  12.0  8.0"
"mcvNN","0.025974025974025976  0.03164556962025317  0.025806451612903226  0.03184713375796178  0.01910828025477707  0.013157894736842105"
"pNN50","0.0  1.0752688172043012  4.3478260869565215  5.0  1.1904761904761905  0.0"
"pNN20","17.77777777777778  23.655913978494624  23.47826086956522  20.0  16.666666666666664  2.3255813953488373"
"Triang","1486.1818429775808  14001.046384083207  7667.838732835419  2067.207598977179  7486.159335195292  1130.8903170341998"
"Shannon_h","4.321928094887363  5.285402218862247  5.0  4.623516641218013  4.643856189774723  3.169925001442312"
"ULF","0.0  0.0  0.0  0.0  0.0  0.0"
"VLF","67833.46776696706  169596.02658222386  152745.85618615698  124834.21973922019  24254.85110838236  4265.688250465296"
"LF","113861.04803701933  237901.06012062324  246598.80776303782  348419.8263950498  130357.62818642138  13704.056344290382"
"HF","16318.817257161556  29766.461732840056  12918.145706545412  17676.06744522522  27554.06249863589  6761.350057587757"
"VHF","913.9328929407789  1657.5267335370288  550.3716909088364  911.4805694209289  1233.1424438282008  484.28709297064654"
"Total_Power","315375.11703022785  466673.72557390586  444789.0715022328  715230.5785171145  201138.61788079783  33988.57061447778"
"LFn","0.8746440763302048  0.8887931508211296  0.9502223437280776  0.9517173840443642  0.8255096732920786  0.6696205330685611"
"HFn","0.12535592366979517  0.11120684917887026  0.049777656271922474  0.04828261595563582  0.17449032670792153  0.33037946693143894"
"LF/HF","6.977285561982202  7.992251892610979  19.089334751665657  19.711388150941193  4.730976718691662  2.026822487753218"
"LF/P","0.36103370839528237  0.509780274919179  0.554417416170262  0.4871433588835472  0.6480984584654754  0.40319601844194647"
"HF/P","0.05174414966795697  0.06378431032566462  0.02904330734322137  0.024713802759765893  0.13699041381981378  0.1989301090145783"
